Reporting year,Quintile,Sex,Potentially preventable hospitalisation (PPH) category,Potentially preventable hospitalisation (PPH) condition,Population,"PPH per 100,000 people (age-standardised)","PPH per 100,000 people (crude)",Number of PPH,Number of same day PPH,Percentage of PPH that are same day (%),Total PPH bed days,Average length of stay (days)
2017–18,SEIFA 4,Persons,Chronic PPH,Type 2 diabetes complications,5104323,97,102,"5,227","1,680",32.1,"31,906",6.1
2017–18,SEIFA 4,Males,Total PPH,Total potentially preventable,2526725,"2,387","2,363","59,700","21,266",35.6,"241,310",4.0
2017–18,SEIFA 4,Females,Total PPH,Total potentially preventable,2577598,"2,501","2,669","68,794","27,392",39.8,"251,801",3.7
2017–18,SEIFA 4,Persons,Total PPH,Total potentially preventable,5104323,"2,437","2,517","128,496","48,659",37.9,"493,113",3.8
2017–18,SEIFA 4,Males,Vaccine preventable PPH,Other vaccine-preventable conditions,2526725,99,101,"2,547",752,29.5,"15,105",5.9
2017–18,SEIFA 4,Females,Vaccine preventable PPH,Other vaccine-preventable conditions,2577598,82,86,"2,217",746,33.6,"10,679",4.8
2017–18,SEIFA 4,Persons,Vaccine preventable PPH,Other vaccine-preventable conditions,5104323,90,93,"4,764","1,498",31.4,"25,784",5.4
2017–18,SEIFA 4,Males,Vaccine preventable PPH,Other vaccine-preventable conditions (excluding Hepatitis B),2526725,12,12,292,26,8.9,"2,642",9.0
2017–18,SEIFA 4,Females,Vaccine preventable PPH,Other vaccine-preventable conditions (excluding Hepatitis B),2577598,13,13,345,40,11.6,"2,422",7.0
2017–18,SEIFA 4,Persons,Vaccine preventable PPH,Other vaccine-preventable conditions (excluding Hepatitis B),5104323,12,12,637,66,10.4,"5,064",7.9
2017–18,SEIFA 4,Males,Vaccine preventable PPH,Pneumonia and influenza (vaccine-preventable),2526725,185,181,"4,578",420,9.2,"34,334",7.5
2017–18,SEIFA 4,Females,Vaccine preventable PPH,Pneumonia and influenza (vaccine-preventable),2577598,181,200,"5,165",531,10.3,"36,248",7.0
2017–18,SEIFA 4,Persons,Vaccine preventable PPH,Pneumonia and influenza (vaccine-preventable),5104323,182,191,"9,743",951,9.8,"70,582",7.2
