Reporting year,Quintile,Sex,Potentially preventable hospitalisation (PPH) category,Potentially preventable hospitalisation (PPH) condition,Population,"PPH per 100,000 people (age-standardised)","PPH per 100,000 people (crude)",Number of PPH,Number of same day PPH,Percentage of PPH that are same day (%),Total PPH bed days,Average length of stay (days)
2017–18,SEIFA 5 (Least disadvantaged),Persons,Acute PPH,Epilepsy,5087868,56,55,"2,791",763,27.3,"9,907",3.5
2017–18,SEIFA 5 (Least disadvantaged),Males,Acute PPH,Gangrene,2507590,46,48,"1,196",149,12.5,"14,856",12.4
2017–18,SEIFA 5 (Least disadvantaged),Females,Acute PPH,Gangrene,2580278,32,37,958,132,13.8,"11,845",12.4
2017–18,SEIFA 5 (Least disadvantaged),Persons,Acute PPH,Gangrene,5087868,38,42,"2,154",281,13.0,"26,701",12.4
2017–18,SEIFA 5 (Least disadvantaged),Males,Acute PPH,Pelvic inflammatory disease,2507590,n.p,n.p,n.p,n.p,n.p,n.p,n.p
2017–18,SEIFA 5 (Least disadvantaged),Females,Acute PPH,Pelvic inflammatory disease,2580278,n.p,n.p,n.p,n.p,n.p,n.p,n.p
2017–18,SEIFA 5 (Least disadvantaged),Persons,Acute PPH,Pelvic inflammatory disease,5087868,15,15,744,245,32.9,"1,601",2.2
2017–18,SEIFA 5 (Least disadvantaged),Males,Acute PPH,Perforated/bleeding ulcer,2507590,20,20,512,40,7.8,"3,201",6.3
2017–18,SEIFA 5 (Least disadvantaged),Females,Acute PPH,Perforated/bleeding ulcer,2580278,13,16,422,38,9.0,"3,138",7.4
2017–18,SEIFA 5 (Least disadvantaged),Persons,Acute PPH,Perforated/bleeding ulcer,5087868,16,18,934,78,8.4,"6,339",6.8
2017–18,SEIFA 5 (Least disadvantaged),Males,Acute PPH,Pneumonia (not vaccine-preventable),2507590,8,8,209,20,9.6,"1,581",7.6
2017–18,SEIFA 5 (Least disadvantaged),Females,Acute PPH,Pneumonia (not vaccine-preventable),2580278,8,8,210,n.p,n.p,n.p,n.p
2017–18,SEIFA 5 (Least disadvantaged),Persons,Acute PPH,Pneumonia (not vaccine-preventable),5087868,8,8,419,23,5.5,"3,942",9.4
2017–18,SEIFA 5 (Least disadvantaged),Males,Acute PPH,Total acute,2507590,"1,010","1,019","25,546","11,404",44.6,"81,776",3.2
2017–18,SEIFA 5 (Least disadvantaged),Females,Acute PPH,Total acute,2580278,"1,092","1,152","29,717","13,405",45.1,"94,755",3.2
2017–18,SEIFA 5 (Least disadvantaged),Persons,Acute PPH,Total acute,5087868,"1,052","1,086","55,266","24,811",44.9,"176,534",3.2
2017–18,SEIFA 5 (Least disadvantaged),Males,Acute PPH,"Urinary tract infections, including pyelonephritis",2507590,153,158,"3,953",943,23.9,"17,151",4.3
2017–18,SEIFA 5 (Least disadvantaged),Females,Acute PPH,"Urinary tract infections, including pyelonephritis",2580278,299,335,"8,637","2,539",29.4,"32,161",3.7
2017–18,SEIFA 5 (Least disadvantaged),Persons,Acute PPH,"Urinary tract infections, including pyelonephritis",5087868,228,247,"12,590","3,482",27.7,"49,312",3.9
2017–18,SEIFA 5 (Least disadvantaged),Males,Acute and vaccine preventable PPH,Total acute and vaccine preventable,2507590,"1,251","1,269","31,809","12,472",39.2,"125,648",4.0
2017–18,SEIFA 5 (Least disadvantaged),Females,Acute and vaccine preventable PPH,Total acute and vaccine preventable,2580278,"1,316","1,409","36,355","14,520",39.9,"139,894",3.8
2017–18,SEIFA 5 (Least disadvantaged),Persons,Acute and vaccine preventable PPH,Total acute and vaccine preventable,5087868,"1,284","1,340","68,167","26,994",39.6,"265,545",3.9
2017–18,SEIFA 5 (Least disadvantaged),Males,Chronic PPH,Angina,2507590,109,117,"2,944","1,425",48.4,"5,450",1.9
2017–18,SEIFA 5 (Least disadvantaged),Females,Chronic PPH,Angina,2580278,57,68,"1,766",751,42.5,"3,602",2.0
2017–18,SEIFA 5 (Least disadvantaged),Persons,Chronic PPH,Angina,5087868,82,93,"4,710","2,176",46.2,"9,052",1.9
2017–18,SEIFA 5 (Least disadvantaged),Males,Chronic PPH,Asthma,2507590,84,83,"2,079",816,39.2,"3,812",1.8
2017–18,SEIFA 5 (Least disadvantaged),Females,Chronic PPH,Asthma,2580278,104,106,"2,747",910,33.1,"7,468",2.7
2017–18,SEIFA 5 (Least disadvantaged),Persons,Chronic PPH,Asthma,5087868,95,95,"4,827","1,726",35.8,"11,282",2.3
2017–18,SEIFA 5 (Least disadvantaged),Males,Chronic PPH,Bronchiectasis,2507590,17,17,430,94,21.9,"3,044",7.1
2017–18,SEIFA 5 (Least disadvantaged),Females,Chronic PPH,Bronchiectasis,2580278,35,41,"1,065",220,20.7,"6,755",6.3
2017–18,SEIFA 5 (Least disadvantaged),Persons,Chronic PPH,Bronchiectasis,5087868,27,29,"1,495",314,21.0,"9,799",6.6
2017–18,SEIFA 5 (Least disadvantaged),Males,Chronic PPH,COPD,2507590,164,170,"4,263",693,16.3,"23,444",5.5
2017–18,SEIFA 5 (Least disadvantaged),Females,Chronic PPH,COPD,2580278,132,162,"4,176",508,12.2,"26,233",6.3
2017–18,SEIFA 5 (Least disadvantaged),Persons,Chronic PPH,COPD,5087868,146,166,"8,439","1,201",14.2,"49,677",5.9
2017–18,SEIFA 5 (Least disadvantaged),Males,Chronic PPH,Congestive cardiac failure,2507590,189,196,"4,908",503,10.2,"34,479",7.0
2017–18,SEIFA 5 (Least disadvantaged),Females,Chronic PPH,Congestive cardiac failure,2580278,127,178,"4,593",442,9.6,"35,082",7.6
2017–18,SEIFA 5 (Least disadvantaged),Persons,Chronic PPH,Congestive cardiac failure,5087868,155,187,"9,501",945,9.9,"69,561",7.3
2017–18,SEIFA 5 (Least disadvantaged),Males,Chronic PPH,Diabetes complications,2507590,143,150,"3,750","1,105",29.5,"22,902",6.1
2017–18,SEIFA 5 (Least disadvantaged),Females,Chronic PPH,Diabetes complications,2580278,84,90,"2,323",728,31.3,"10,882",4.7
2017–18,SEIFA 5 (Least disadvantaged),Persons,Chronic PPH,Diabetes complications,5087868,112,119,"6,073","1,833",30.2,"33,784",5.6
2017–18,SEIFA 5 (Least disadvantaged),Males,Chronic PPH,Hypertension,2507590,23,24,612,197,32.2,"1,509",2.5
2017–18,SEIFA 5 (Least disadvantaged),Females,Chronic PPH,Hypertension,2580278,39,47,"1,214",384,31.6,"3,288",2.7
2017–18,SEIFA 5 (Least disadvantaged),Persons,Chronic PPH,Hypertension,5087868,32,36,"1,826",581,31.8,"4,797",2.6
2017–18,SEIFA 5 (Least disadvantaged),Males,Chronic PPH,Iron deficiency anaemia,2507590,133,138,"3,455","2,794",80.9,"5,195",1.5
2017–18,SEIFA 5 (Least disadvantaged),Females,Chronic PPH,Iron deficiency anaemia,2580278,274,296,"7,643","6,596",86.3,"10,247",1.3
2017–18,SEIFA 5 (Least disadvantaged),Persons,Chronic PPH,Iron deficiency anaemia,5087868,204,218,"11,098","9,390",84.6,"15,442",1.4
2017–18,SEIFA 5 (Least disadvantaged),Males,Chronic PPH,Nutritional deficiencies,2507590,2,2,53,n.p,n.p,n.p,n.p
2017–18,SEIFA 5 (Least disadvantaged),Females,Chronic PPH,Nutritional deficiencies,2580278,3,4,94,25,26.6,"1,032",11.0
2017–18,SEIFA 5 (Least disadvantaged),Persons,Chronic PPH,Nutritional deficiencies,5087868,3,3,147,26,17.7,"1,632",11.1
2017–18,SEIFA 5 (Least disadvantaged),Males,Chronic PPH,Rheumatic heart disease,2507590,13,13,333,124,37.2,"2,581",7.8
2017–18,SEIFA 5 (Least disadvantaged),Females,Chronic PPH,Rheumatic heart disease,2580278,12,13,346,141,40.8,"2,425",7.0
2017–18,SEIFA 5 (Least disadvantaged),Persons,Chronic PPH,Rheumatic heart disease,5087868,12,13,679,265,39.0,"5,006",7.4
2017–18,SEIFA 5 (Least disadvantaged),Males,Chronic PPH,Total chronic,2507590,877,910,"22,827","7,752",34.0,"103,016",4.5
2017–18,SEIFA 5 (Least disadvantaged),Females,Chronic PPH,Total chronic,2580278,868,"1,006","25,967","10,705",41.2,"107,014",4.1
2017–18,SEIFA 5 (Least disadvantaged),Persons,Chronic PPH,Total chronic,5087868,867,959,"48,795","18,457",37.8,"210,032",4.3
2017–18,SEIFA 5 (Least disadvantaged),Males,Chronic PPH,Type 1 diabetes complications,2507590,43,43,"1,075",346,32.2,"3,625",3.4
2017–18,SEIFA 5 (Least disadvantaged),Females,Chronic PPH,Type 1 diabetes complications,2580278,41,40,"1,022",357,34.9,"2,811",2.8
2017–18,SEIFA 5 (Least disadvantaged),Persons,Chronic PPH,Type 1 diabetes complications,5087868,42,41,"2,097",703,33.5,"6,436",3.1
2017–18,SEIFA 5 (Least disadvantaged),Males,Chronic PPH,Type 2 diabetes complications,2507590,97,103,"2,574",700,27.2,"18,711",7.3
2017–18,SEIFA 5 (Least disadvantaged),Females,Chronic PPH,Type 2 diabetes complications,2580278,42,49,"1,264",360,28.5,"7,713",6.1
2017–18,SEIFA 5 (Least disadvantaged),Persons,Chronic PPH,Type 2 diabetes complications,5087868,67,75,"3,838","1,060",27.6,"26,424",6.9
2017–18,SEIFA 5 (Least disadvantaged),Males,Total PPH,Total potentially preventable,2507590,"2,108","2,158","54,117","20,184",37.3,"224,357",4.1
2017–18,SEIFA 5 (Least disadvantaged),Females,Total PPH,Total potentially preventable,2580278,"2,166","2,394","61,770","25,198",40.8,"242,291",3.9
2017–18,SEIFA 5 (Least disadvantaged),Persons,Total PPH,Total potentially preventable,5087868,"2,132","2,278","115,891","45,384",39.2,"466,653",4.0
2017–18,SEIFA 5 (Least disadvantaged),Males,Vaccine preventable PPH,Other vaccine-preventable conditions,2507590,81,86,"2,168",679,31.3,"12,584",5.8
2017–18,SEIFA 5 (Least disadvantaged),Females,Vaccine preventable PPH,Other vaccine-preventable conditions,2580278,65,70,"1,804",624,34.6,"9,471",5.3
2017–18,SEIFA 5 (Least disadvantaged),Persons,Vaccine preventable PPH,Other vaccine-preventable conditions,5087868,73,78,"3,972","1,303",32.8,"22,055",5.6
2017–18,SEIFA 5 (Least disadvantaged),Males,Vaccine preventable PPH,Other vaccine-preventable conditions (excluding Hepatitis B),2507590,10,10,246,17,6.9,"1,719",7.0
2017–18,SEIFA 5 (Least disadvantaged),Females,Vaccine preventable PPH,Other vaccine-preventable conditions (excluding Hepatitis B),2580278,10,11,277,31,11.2,"2,711",9.8
2017–18,SEIFA 5 (Least disadvantaged),Persons,Vaccine preventable PPH,Other vaccine-preventable conditions (excluding Hepatitis B),5087868,10,10,523,48,9.2,"4,430",8.5
2017–18,SEIFA 5 (Least disadvantaged),Males,Vaccine preventable PPH,Pneumonia and influenza (vaccine-preventable),2507590,168,171,"4,294",426,9.9,"33,068",7.7
2017–18,SEIFA 5 (Least disadvantaged),Females,Vaccine preventable PPH,Pneumonia and influenza (vaccine-preventable),2580278,165,194,"5,016",510,10.2,"37,431",7.5
2017–18,SEIFA 5 (Least disadvantaged),Persons,Vaccine preventable PPH,Pneumonia and influenza (vaccine-preventable),5087868,166,183,"9,310",936,10.1,"70,499",7.6
2017–18,SEIFA 5 (Least disadvantaged),Males,Vaccine preventable PPH,Total vaccine preventable,2507590,247,257,"6,432","1,104",17.2,"45,395",7.1
2017–18,SEIFA 5 (Least disadvantaged),Females,Vaccine preventable PPH,Total vaccine preventable,2580278,230,263,"6,798","1,132",16.7,"46,566",6.8
2017–18,SEIFA 5 (Least disadvantaged),Persons,Vaccine preventable PPH,Total vaccine preventable,5087868,237,260,"13,230","2,236",16.9,"91,961",7.0
