Reporting year,Remoteness Area,Sex,Potentially preventable hospitalisation (PPH) category,Potentially preventable hospitalisation (PPH) condition,Population,"PPH per 100,000 people (age-standardised)","PPH per 100,000 people (crude)",Number of PPH,Number of same day PPH,Percentage of PPH that are same day (%),Total PPH bed days,Average length of stay (days)
2015–16,Inner Regional,Males,Chronic PPH,Angina,2129474,183,238,"5,062","1,902",37.6,"10,039",2.0
2015–16,Inner Regional,Persons,Chronic PPH,Angina,4298060,142,192,"8,234","3,081",37.4,"16,463",2.0
2015–16,Inner Regional,Persons,Chronic PPH,Asthma,4298060,136,134,"5,780","1,878",32.5,"12,132",2.1
2015–16,Inner Regional,Males,Chronic PPH,Asthma,2129474,110,111,"2,360",817,34.6,"4,020",1.7
2015–16,Inner Regional,Females,Chronic PPH,Asthma,2168586,160,158,"3,419","1,061",31.0,"8,113",2.4
2015–16,Inner Regional,Females,Chronic PPH,Bronchiectasis,2168586,33,45,975,226,23.2,"6,374",6.5
2015–16,Inner Regional,Males,Chronic PPH,Bronchiectasis,2129474,16,20,421,95,22.7,"2,865",6.8
2015–16,Inner Regional,Persons,Chronic PPH,Bronchiectasis,4298060,25,32,"1,397",322,23.1,"9,239",6.6
2015–16,Inner Regional,Males,Chronic PPH,COPD,2129474,316,418,"8,906",926,10.4,"46,276",5.2
2015–16,Inner Regional,Persons,Chronic PPH,COPD,4298060,285,396,"17,038","1,706",10.0,"89,736",5.3
2015–16,Inner Regional,Females,Chronic PPH,COPD,2168586,262,375,"8,131",780,9.6,"43,453",5.3
2015–16,Inner Regional,Females,Chronic PPH,Congestive cardiac failure,2168586,159,258,"5,600",454,8.1,"41,247",7.4
2015–16,Inner Regional,Persons,Chronic PPH,Congestive cardiac failure,4298060,198,286,"12,271",975,7.9,"84,116",6.9
2015–16,Inner Regional,Males,Chronic PPH,Congestive cardiac failure,2129474,243,313,"6,672",521,7.8,"42,869",6.4
2015–16,Inner Regional,Males,Chronic PPH,Diabetes complications,2129474,238,275,"5,860","1,503",25.6,"33,340",5.7
2015–16,Inner Regional,Persons,Chronic PPH,Diabetes complications,4298060,196,225,"9,662","2,445",25.3,"52,560",5.4
2015–16,Inner Regional,Females,Chronic PPH,Diabetes complications,2168586,158,175,"3,802",942,24.8,"19,220",5.1
2015–16,Inner Regional,Females,Chronic PPH,Hypertension,2168586,40,56,"1,219",286,23.5,"3,625",3.0
2015–16,Inner Regional,Males,Chronic PPH,Hypertension,2129474,24,29,620,167,26.9,"1,627",2.6
2015–16,Inner Regional,Persons,Chronic PPH,Hypertension,4298060,33,43,"1,839",453,24.6,"5,252",2.9
2015–16,Inner Regional,Males,Chronic PPH,Iron deficiency anaemia,2129474,144,181,"3,857","3,087",80.0,"5,661",1.5
2015–16,Inner Regional,Persons,Chronic PPH,Iron deficiency anaemia,4298060,219,259,"11,144","9,270",83.2,"15,655",1.4
2015–16,Inner Regional,Females,Chronic PPH,Iron deficiency anaemia,2168586,293,336,"7,287","6,184",84.9,"9,994",1.4
2015–16,Inner Regional,Females,Chronic PPH,Nutritional deficiencies,2168586,3,4,87,0,0.0,"1,231",14.1
2015–16,Inner Regional,Males,Chronic PPH,Nutritional deficiencies,2129474,2,3,66,5,7.5,721,11.0
2015–16,Inner Regional,Persons,Chronic PPH,Nutritional deficiencies,4298060,3,4,153,5,3.2,"1,952",12.8
2015–16,Inner Regional,Persons,Chronic PPH,Rheumatic heart disease,4298060,12,16,679,218,32.1,"4,994",7.4
2015–16,Inner Regional,Males,Chronic PPH,Rheumatic heart disease,2129474,12,15,328,107,32.6,"2,265",6.9
2015–16,Inner Regional,Females,Chronic PPH,Rheumatic heart disease,2168586,12,16,351,111,31.7,"2,729",7.8
2015–16,Inner Regional,Females,Chronic PPH,Total chronic,2168586,"1,223","1,570","34,041","11,224",33.0,"142,399",4.2
2015–16,Inner Regional,Males,Chronic PPH,Total chronic,2129474,"1,288","1,604","34,152","9,130",26.7,"149,682",4.4
2015–16,Inner Regional,Persons,Chronic PPH,Total chronic,4298060,"1,246","1,587","68,196","20,354",29.8,"292,090",4.3
2015–16,Inner Regional,Males,Chronic PPH,Type 1 diabetes complications,2129474,82,78,"1,652",395,23.9,"5,598",3.4
2015–16,Inner Regional,Persons,Chronic PPH,Type 1 diabetes complications,4298060,84,77,"3,327",832,25.0,"11,386",3.4
2015–16,Inner Regional,Females,Chronic PPH,Type 1 diabetes complications,2168586,86,77,"1,675",437,26.1,"5,789",3.5
2015–16,Inner Regional,Females,Chronic PPH,Type 2 diabetes complications,2168586,70,95,"2,063",475,23.0,"13,085",6.3
2015–16,Inner Regional,Males,Chronic PPH,Type 2 diabetes complications,2129474,153,195,"4,152","1,101",26.5,"27,499",6.6
2015–16,Inner Regional,Persons,Chronic PPH,Type 2 diabetes complications,4298060,110,145,"6,215","1,575",25.3,"40,584",6.5
2015–16,Inner Regional,Males,Total PPH,Total potentially preventable,2129474,"2,702","3,123","66,495","20,483",30.8,"281,693",4.2
2015–16,Inner Regional,Persons,Total PPH,Total potentially preventable,4298060,"2,695","3,144","135,152","44,012",32.6,"544,776",4.0
2015–16,Inner Regional,Females,Total PPH,Total potentially preventable,2168586,"2,710","3,166","68,655","23,529",34.3,"263,074",3.8
2015–16,Inner Regional,Females,Vaccine preventable PPH,Other vaccine-preventable conditions,2168586,48,49,"1,065",269,25.3,"6,195",5.8
2015–16,Inner Regional,Males,Vaccine preventable PPH,Other vaccine-preventable conditions,2129474,65,74,"1,578",565,35.8,"20,647",13.1
2015–16,Inner Regional,Persons,Vaccine preventable PPH,Other vaccine-preventable conditions,4298060,56,61,"2,642",834,31.6,"26,842",10.2
2015–16,Inner Regional,Males,Vaccine preventable PPH,Other vaccine-preventable conditions (excluding Hepatitis B),2129474,13,14,288,25,8.8,"5,243",18.2
