Reporting year,Remoteness Area,Sex,Potentially preventable hospitalisation (PPH) category,Potentially preventable hospitalisation (PPH) condition,Population,"PPH per 100,000 people (age-standardised)","PPH per 100,000 people (crude)",Number of PPH,Number of same day PPH,Percentage of PPH that are same day (%),Total PPH bed days,Average length of stay (days)
2012–13,Inner Regional,Males,Acute PPH,Cellulitis,2066123,282,298,"6,163",851,13.8,"27,525",4.5
2012–13,Inner Regional,Persons,Acute PPH,Cellulitis,4156288,234,258,"10,713","1,410",13.2,"49,297",4.6
2012–13,Inner Regional,Females,Acute PPH,Cellulitis,2090164,187,218,"4,550",559,12.3,"21,772",4.8
2012–13,Inner Regional,Persons,Acute PPH,Convulsions,4156288,79,80,"3,306",950,28.7,"9,963",3.0
2012–13,Inner Regional,Females,Acute PPH,Convulsions,2090164,74,73,"1,526",426,27.9,"3,679",2.4
2012–13,Inner Regional,Males,Acute PPH,Convulsions,2066123,85,86,"1,780",524,29.4,"6,285",3.5
2012–13,Inner Regional,Persons,Acute PPH,Convulsions and epilepsy,4156288,168,167,"6,937","1,834",26.4,"20,325",2.9
2012–13,Inner Regional,Males,Acute PPH,Convulsions and epilepsy,2066123,183,183,"3,775","1,022",27.1,"11,768",3.1
2012–13,Inner Regional,Females,Acute PPH,Convulsions and epilepsy,2090164,154,151,"3,162",812,25.7,"8,558",2.7
2012–13,Inner Regional,Persons,Acute PPH,Dental conditions,4156288,328,321,"13,351","11,838",88.7,"15,523",1.2
2012–13,Inner Regional,Females,Acute PPH,Dental conditions,2090164,338,326,"6,819","6,120",89.8,"7,780",1.1
2012–13,Inner Regional,Males,Acute PPH,Dental conditions,2066123,319,316,"6,532","5,718",87.5,"7,743",1.2
2012–13,Inner Regional,Males,Acute PPH,"Ear, nose and throat infections",2066123,171,167,"3,457","1,274",36.9,"5,462",1.6
2012–13,Inner Regional,Persons,Acute PPH,"Ear, nose and throat infections",4156288,175,166,"6,912","2,490",36.0,"11,882",1.7
2012–13,Inner Regional,Females,Acute PPH,"Ear, nose and throat infections",2090164,178,165,"3,455","1,216",35.2,"6,420",1.9
2012–13,Inner Regional,Persons,Acute PPH,Eclampsia,4156288,n.p,n.p,13,n.p,n.p,n.p,n.p
2012–13,Inner Regional,Females,Acute PPH,Eclampsia,2090164,n.p,n.p,n.p,n.p,n.p,n.p,n.p
2012–13,Inner Regional,Males,Acute PPH,Eclampsia,2066123,n.p,n.p,n.p,n.p,n.p,n.p,n.p
2012–13,Inner Regional,Persons,Acute PPH,Epilepsy,4156288,89,87,"3,631",885,24.4,"10,362",2.9
2012–13,Inner Regional,Males,Acute PPH,Epilepsy,2066123,99,97,"1,995",498,25.0,"5,483",2.7
2012–13,Inner Regional,Females,Acute PPH,Epilepsy,2090164,80,78,"1,635",387,23.6,"4,879",3.0
2012–13,Inner Regional,Males,Acute PPH,Gangrene,2066123,40,45,929,100,10.8,"12,451",13.4
2012–13,Inner Regional,Persons,Acute PPH,Gangrene,4156288,33,39,"1,618",196,12.1,"22,114",13.7
2012–13,Inner Regional,Females,Acute PPH,Gangrene,2090164,27,33,688,95,13.8,"9,663",14.0
2012–13,Inner Regional,Persons,Acute PPH,Pelvic inflammatory disease,4156288,22,19,792,297,37.4,"1,662",2.1
2012–13,Inner Regional,Females,Acute PPH,Pelvic inflammatory disease,2090164,n.p,n.p,n.p,n.p,n.p,n.p,n.p
2012–13,Inner Regional,Males,Acute PPH,Pelvic inflammatory disease,2066123,n.p,n.p,n.p,n.p,n.p,n.p,n.p
2012–13,Inner Regional,Males,Acute PPH,Perforated/bleeding ulcer,2066123,28,32,664,83,12.5,"3,607",5.4
2012–13,Inner Regional,Persons,Acute PPH,Perforated/bleeding ulcer,4156288,22,27,"1,127",151,13.4,"6,272",5.6
2012–13,Inner Regional,Females,Acute PPH,Perforated/bleeding ulcer,2090164,17,22,463,68,14.7,"2,665",5.8
2012–13,Inner Regional,Persons,Acute PPH,Pneumonia (not vaccine-preventable),4156288,6,7,293,9,3.1,"2,481",8.5
2012–13,Inner Regional,Males,Acute PPH,Pneumonia (not vaccine-preventable),2066123,7,8,164,n.p,n.p,n.p,n.p
2012–13,Inner Regional,Females,Acute PPH,Pneumonia (not vaccine-preventable),2090164,6,6,130,n.p,n.p,n.p,n.p
2012–13,Inner Regional,Males,Acute PPH,Total acute,2066123,"1,206","1,253","25,882","9,930",38.4,"88,403",3.4
2012–13,Inner Regional,Persons,Acute PPH,Total acute,4156288,"1,245","1,304","54,213","20,905",38.6,"179,912",3.3
2012–13,Inner Regional,Females,Acute PPH,Total acute,2090164,"1,288","1,355","28,330","10,975",38.7,"91,509",3.2
2012–13,Inner Regional,Males,Acute PPH,"Urinary tract infections, including pyelonephritis",2066123,176,205,"4,233",879,20.8,"18,531",4.4
2012–13,Inner Regional,Persons,Acute PPH,"Urinary tract infections, including pyelonephritis",4156288,257,301,"12,512","2,685",21.5,"50,672",4.1
2012–13,Inner Regional,Females,Acute PPH,"Urinary tract infections, including pyelonephritis",2090164,337,396,"8,279","1,807",21.8,"32,141",3.9
2012–13,Inner Regional,Persons,Acute and vaccine preventable PPH,Total acute and vaccine preventable,4156288,"1,323","1,390","57,756","21,185",36.7,"206,699",3.6
2012–13,Inner Regional,Males,Acute and vaccine preventable PPH,Total acute and vaccine preventable,2066123,"1,285","1,338","27,651","10,073",36.4,"102,530",3.7
2012–13,Inner Regional,Females,Acute and vaccine preventable PPH,Total acute and vaccine preventable,2090164,"1,366","1,440","30,105","11,112",36.9,"104,169",3.5
2012–13,Inner Regional,Females,Chronic PPH,Angina,2090164,152,205,"4,289","1,347",31.4,"9,184",2.1
2012–13,Inner Regional,Persons,Chronic PPH,Angina,4156288,199,255,"10,618","3,464",32.6,"21,966",2.1
2012–13,Inner Regional,Males,Chronic PPH,Angina,2066123,250,306,"6,329","2,117",33.4,"12,781",2.0
2012–13,Inner Regional,Persons,Chronic PPH,Asthma,4156288,128,127,"5,259","1,352",25.7,"12,626",2.4
2012–13,Inner Regional,Females,Chronic PPH,Asthma,2090164,147,146,"3,050",714,23.4,"8,579",2.8
2012–13,Inner Regional,Males,Chronic PPH,Asthma,2066123,108,107,"2,209",639,28.9,"4,047",1.8
2012–13,Inner Regional,Females,Chronic PPH,Bronchiectasis,2090164,28,38,787,252,32.0,"4,766",6.1
2012–13,Inner Regional,Persons,Chronic PPH,Bronchiectasis,4156288,21,27,"1,125",378,33.6,"6,621",5.9
2012–13,Inner Regional,Males,Chronic PPH,Bronchiectasis,2066123,14,16,338,126,37.1,"1,855",5.5
2012–13,Inner Regional,Males,Chronic PPH,COPD,2066123,316,391,"8,080",603,7.5,"45,840",5.7
2012–13,Inner Regional,Females,Chronic PPH,COPD,2090164,246,337,"7,047",471,6.7,"42,449",6.0
2012–13,Inner Regional,Persons,Chronic PPH,COPD,4156288,275,364,"15,127","1,074",7.1,"88,288",5.8
2012–13,Inner Regional,Persons,Chronic PPH,Congestive cardiac failure,4156288,192,262,"10,883",783,7.2,"73,439",6.7
2012–13,Inner Regional,Females,Chronic PPH,Congestive cardiac failure,2090164,152,236,"4,931",330,6.7,"35,313",7.2
2012–13,Inner Regional,Males,Chronic PPH,Congestive cardiac failure,2066123,242,288,"5,952",453,7.6,"38,127",6.4
2012–13,Inner Regional,Persons,Chronic PPH,Diabetes complications,4156288,174,193,"8,022","1,735",21.6,"44,330",5.5
2012–13,Inner Regional,Males,Chronic PPH,Diabetes complications,2066123,205,228,"4,706","1,042",22.1,"27,615",5.9
2012–13,Inner Regional,Females,Chronic PPH,Diabetes complications,2090164,145,159,"3,316",693,20.9,"16,715",5.0
2012–13,Inner Regional,Females,Chronic PPH,Hypertension,2090164,45,60,"1,264",228,18.0,"4,077",3.2
2012–13,Inner Regional,Males,Chronic PPH,Hypertension,2066123,27,32,662,129,19.4,"1,902",2.9
2012–13,Inner Regional,Persons,Chronic PPH,Hypertension,4156288,37,46,"1,927",356,18.5,"5,979",3.1
2012–13,Inner Regional,Females,Chronic PPH,Iron deficiency anaemia,2090164,185,218,"4,560","3,577",78.5,"7,442",1.6
2012–13,Inner Regional,Persons,Chronic PPH,Iron deficiency anaemia,4156288,144,171,"7,093","5,422",76.4,"11,763",1.7
2012–13,Inner Regional,Males,Chronic PPH,Iron deficiency anaemia,2066123,103,123,"2,534","1,845",72.8,"4,321",1.7
2012–13,Inner Regional,Males,Chronic PPH,Nutritional deficiencies,2066123,2,2,41,n.p,n.p,n.p,n.p
2012–13,Inner Regional,Persons,Chronic PPH,Nutritional deficiencies,4156288,1,2,76,n.p,n.p,n.p,n.p
2012–13,Inner Regional,Females,Chronic PPH,Nutritional deficiencies,2090164,1,2,35,n.p,n.p,n.p,n.p
2012–13,Inner Regional,Females,Chronic PPH,Rheumatic heart disease,2090164,10,12,253,60,23.9,"2,231",8.8
2012–13,Inner Regional,Males,Chronic PPH,Rheumatic heart disease,2066123,10,12,250,59,23.7,"2,433",9.7
2012–13,Inner Regional,Persons,Chronic PPH,Rheumatic heart disease,4156288,10,12,503,120,23.8,"4,664",9.3
2012–13,Inner Regional,Females,Chronic PPH,Total chronic,2090164,"1,111","1,413","29,532","7,675",26.0,"131,235",4.4
2012–13,Inner Regional,Persons,Chronic PPH,Total chronic,4156288,"1,181","1,459","60,632","14,688",24.2,"270,511",4.5
2012–13,Inner Regional,Males,Chronic PPH,Total chronic,2066123,"1,277","1,505","31,100","7,014",22.6,"139,276",4.5
2012–13,Inner Regional,Males,Chronic PPH,Type 1 diabetes complications,2066123,80,76,"1,571",372,23.7,"5,127",3.3
2012–13,Inner Regional,Persons,Chronic PPH,Type 1 diabetes complications,4156288,79,74,"3,068",733,23.9,"9,779",3.2
2012–13,Inner Regional,Females,Chronic PPH,Type 1 diabetes complications,2090164,79,72,"1,497",361,24.1,"4,652",3.1
2012–13,Inner Regional,Persons,Chronic PPH,Type 2 diabetes complications,4156288,93,117,"4,862",984,20.2,"34,035",7.0
2012–13,Inner Regional,Females,Chronic PPH,Type 2 diabetes complications,2090164,65,85,"1,787",324,18.1,"11,862",6.6
2012–13,Inner Regional,Males,Chronic PPH,Type 2 diabetes complications,2066123,123,149,"3,075",659,21.4,"22,173",7.2
2012–13,Inner Regional,Males,Total PPH,Total potentially preventable,2066123,"2,552","2,832","58,508","17,078",29.2,"239,316",4.1
2012–13,Inner Regional,Persons,Total PPH,Total potentially preventable,4156288,"2,495","2,837","117,933","35,858",30.4,"473,129",4.0
2012–13,Inner Regional,Females,Total PPH,Total potentially preventable,2090164,"2,468","2,843","59,425","18,780",31.6,"233,812",3.9
2012–13,Inner Regional,Males,Vaccine preventable PPH,Other vaccine-preventable conditions,2066123,22,23,468,63,13.4,"3,015",6.4
2012–13,Inner Regional,Persons,Vaccine preventable PPH,Other vaccine-preventable conditions,4156288,20,21,856,110,12.8,"5,275",6.2
2012–13,Inner Regional,Females,Vaccine preventable PPH,Other vaccine-preventable conditions,2090164,18,19,388,47,12.2,"2,260",5.8
2012–13,Inner Regional,Persons,Vaccine preventable PPH,Other vaccine-preventable conditions (excluding Hepatitis B),4156288,15,15,620,47,7.5,"3,853",6.2
2012–13,Inner Regional,Males,Vaccine preventable PPH,Other vaccine-preventable conditions (excluding Hepatitis B),2066123,15,16,322,21,6.6,"2,096",6.5
2012–13,Inner Regional,Females,Vaccine preventable PPH,Other vaccine-preventable conditions (excluding Hepatitis B),2090164,14,14,299,25,8.4,"1,758",5.9
2012–13,Inner Regional,Males,Vaccine preventable PPH,Pneumonia and influenza (vaccine-preventable),2066123,59,65,"1,343",82,6.1,"11,540",8.6
2012–13,Inner Regional,Persons,Vaccine preventable PPH,Pneumonia and influenza (vaccine-preventable),4156288,60,67,"2,768",175,6.3,"22,255",8.0
2012–13,Inner Regional,Females,Vaccine preventable PPH,Pneumonia and influenza (vaccine-preventable),2090164,61,68,"1,425",93,6.5,"10,715",7.5
2012–13,Inner Regional,Males,Vaccine preventable PPH,Total vaccine preventable,2066123,81,87,"1,805",145,8.0,"14,443",8.0
2012–13,Inner Regional,Persons,Vaccine preventable PPH,Total vaccine preventable,4156288,80,87,"3,615",285,7.9,"27,388",7.6
2012–13,Inner Regional,Females,Vaccine preventable PPH,Total vaccine preventable,2090164,79,87,"1,810",140,7.7,"12,945",7.2
2012–13,Major cities,Females,Acute PPH,Cellulitis,8112398,162,180,"14,594","2,150",14.7,"70,542",4.8
2012–13,Major cities,Males,Acute PPH,Cellulitis,7958411,230,229,"18,193","3,092",17.0,"76,535",4.2
2012–13,Major cities,Persons,Acute PPH,Cellulitis,16070809,195,204,"32,787","5,243",16.0,"147,076",4.5
2012–13,Major cities,Persons,Acute PPH,Convulsions,16070809,69,70,"11,175","3,222",28.8,"28,028",2.5
2012–13,Major cities,Males,Acute PPH,Convulsions,7958411,78,77,"6,168","1,799",29.2,"14,763",2.4
2012–13,Major cities,Females,Acute PPH,Convulsions,8112398,61,62,"5,007","1,423",28.4,"13,265",2.6
2012–13,Major cities,Females,Acute PPH,Convulsions and epilepsy,8112398,122,122,"9,935","2,682",27.0,"29,362",3.0
2012–13,Major cities,Persons,Acute PPH,Convulsions and epilepsy,16070809,138,138,"22,145","6,151",27.8,"63,120",2.9
2012–13,Major cities,Males,Acute PPH,Convulsions and epilepsy,7958411,154,153,"12,210","3,469",28.4,"33,757",2.8
2012–13,Major cities,Females,Acute PPH,Dental conditions,8112398,276,270,"21,923","19,514",89.0,"25,362",1.2
2012–13,Major cities,Persons,Acute PPH,Dental conditions,16070809,267,262,"42,133","37,090",88.0,"50,047",1.2
2012–13,Major cities,Males,Acute PPH,Dental conditions,7958411,258,254,"20,209","17,576",87.0,"24,684",1.2
2012–13,Major cities,Females,Acute PPH,"Ear, nose and throat infections",8112398,151,148,"11,971","4,971",41.5,"19,046",1.6
2012–13,Major cities,Persons,Acute PPH,"Ear, nose and throat infections",16070809,153,152,"24,392","10,480",43.0,"37,287",1.5
2012–13,Major cities,Males,Acute PPH,"Ear, nose and throat infections",7958411,155,156,"12,420","5,509",44.4,"18,240",1.5
2012–13,Major cities,Males,Acute PPH,Eclampsia,7958411,n.p,n.p,n.p,n.p,n.p,n.p,n.p
2012–13,Major cities,Persons,Acute PPH,Eclampsia,16070809,0,0,44,n.p,n.p,n.p,n.p
2012–13,Major cities,Females,Acute PPH,Eclampsia,8112398,n.p,n.p,n.p,n.p,n.p,n.p,n.p
2012–13,Major cities,Persons,Acute PPH,Epilepsy,16070809,69,68,"10,970","2,929",26.7,"35,092",3.2
2012–13,Major cities,Males,Acute PPH,Epilepsy,7958411,76,76,"6,043","1,670",27.6,"18,994",3.1
2012–13,Major cities,Females,Acute PPH,Epilepsy,8112398,61,61,"4,927","1,259",25.5,"16,098",3.3
2012–13,Major cities,Males,Acute PPH,Gangrene,7958411,37,37,"2,931",313,10.7,"43,852",15.0
2012–13,Major cities,Persons,Acute PPH,Gangrene,16070809,31,33,"5,334",647,12.1,"79,777",15.0
2012–13,Major cities,Females,Acute PPH,Gangrene,8112398,26,30,"2,403",335,13.9,"35,925",15.0
2012–13,Major cities,Males,Acute PPH,Pelvic inflammatory disease,7958411,n.p,n.p,n.p,n.p,n.p,n.p,n.p
2012–13,Major cities,Persons,Acute PPH,Pelvic inflammatory disease,16070809,18,18,"2,900","1,068",36.8,"6,698",2.3
2012–13,Major cities,Females,Acute PPH,Pelvic inflammatory disease,8112398,n.p,n.p,n.p,n.p,n.p,n.p,n.p
2012–13,Major cities,Males,Acute PPH,Perforated/bleeding ulcer,7958411,28,27,"2,158",187,8.7,"13,902",6.4
2012–13,Major cities,Persons,Acute PPH,Perforated/bleeding ulcer,16070809,21,23,"3,662",332,9.1,"24,598",6.7
2012–13,Major cities,Females,Acute PPH,Perforated/bleeding ulcer,8112398,16,19,"1,504",145,9.6,"10,697",7.1
2012–13,Major cities,Females,Acute PPH,Pneumonia (not vaccine-preventable),8112398,7,7,551,23,4.2,"4,332",7.9
2012–13,Major cities,Persons,Acute PPH,Pneumonia (not vaccine-preventable),16070809,7,7,"1,145",55,4.8,"9,683",8.5
2012–13,Major cities,Males,Acute PPH,Pneumonia (not vaccine-preventable),7958411,8,7,594,32,5.3,"5,351",9.0
2012–13,Major cities,Females,Acute PPH,Total acute,8112398,"1,136","1,194","96,849","38,062",39.3,"325,572",3.4
2012–13,Major cities,Persons,Acute PPH,Total acute,16070809,"1,101","1,125","180,874","71,426",39.5,"612,336",3.4
2012–13,Major cities,Males,Acute PPH,Total acute,7958411,"1,068","1,056","84,023","33,364",39.7,"286,762",3.4
2012–13,Major cities,Females,Acute PPH,"Urinary tract infections, including pyelonephritis",8112398,341,383,"31,105","7,179",23.1,"124,206",4.0
2012–13,Major cities,Males,Acute PPH,"Urinary tract infections, including pyelonephritis",7958411,199,193,"15,374","3,190",20.7,"70,974",4.6
2012–13,Major cities,Persons,Acute PPH,"Urinary tract infections, including pyelonephritis",16070809,271,289,"46,480","10,369",22.3,"195,181",4.2
2012–13,Major cities,Persons,Acute and vaccine preventable PPH,Total acute and vaccine preventable,16070809,"1,187","1,214","195,044","72,986",37.4,"718,232",3.7
2012–13,Major cities,Females,Acute and vaccine preventable PPH,Total acute and vaccine preventable,8112398,"1,212","1,276","103,498","38,713",37.4,"374,296",3.6
2012–13,Major cities,Males,Acute and vaccine preventable PPH,Total acute and vaccine preventable,7958411,"1,164","1,150","91,545","34,273",37.4,"343,934",3.8
2012–13,Major cities,Persons,Chronic PPH,Angina,16070809,152,162,"25,965","8,515",32.8,"57,165",2.2
2012–13,Major cities,Females,Chronic PPH,Angina,8112398,110,127,"10,272","3,164",30.8,"23,786",2.3
2012–13,Major cities,Males,Chronic PPH,Angina,7958411,200,197,"15,693","5,351",34.1,"33,379",2.1
2012–13,Major cities,Females,Chronic PPH,Asthma,8112398,129,128,"10,382","2,451",23.6,"27,938",2.7
2012–13,Major cities,Males,Chronic PPH,Asthma,7958411,103,99,"7,867","2,148",27.3,"14,562",1.9
2012–13,Major cities,Persons,Chronic PPH,Asthma,16070809,117,114,"18,249","4,599",25.2,"42,500",2.3
2012–13,Major cities,Females,Chronic PPH,Bronchiectasis,8112398,26,29,"2,347",423,18.0,"16,706",7.1
2012–13,Major cities,Males,Chronic PPH,Bronchiectasis,7958411,14,14,"1,082",199,18.4,"7,420",6.9
2012–13,Major cities,Persons,Chronic PPH,Bronchiectasis,16070809,20,21,"3,430",622,18.1,"24,126",7.0
2012–13,Major cities,Males,Chronic PPH,COPD,7958411,256,245,"19,477","1,506",7.7,"114,702",5.9
2012–13,Major cities,Females,Chronic PPH,COPD,8112398,192,221,"17,919","1,254",7.0,"112,114",6.3
2012–13,Major cities,Persons,Chronic PPH,COPD,16070809,218,233,"37,397","2,760",7.4,"226,816",6.1
2012–13,Major cities,Males,Chronic PPH,Congestive cardiac failure,7958411,233,220,"17,499","1,268",7.2,"118,527",6.8
2012–13,Major cities,Persons,Chronic PPH,Congestive cardiac failure,16070809,187,211,"33,841","2,292",6.8,"236,274",7.0
2012–13,Major cities,Females,Chronic PPH,Congestive cardiac failure,8112398,152,201,"16,341","1,025",6.3,"117,746",7.2
2012–13,Major cities,Persons,Chronic PPH,Diabetes complications,16070809,157,162,"26,018","7,495",28.8,"144,303",5.5
2012–13,Major cities,Females,Chronic PPH,Diabetes complications,8112398,125,133,"10,756","2,996",27.9,"55,089",5.1
2012–13,Major cities,Males,Chronic PPH,Diabetes complications,7958411,194,192,"15,262","4,499",29.5,"89,215",5.8
2012–13,Major cities,Persons,Chronic PPH,Hypertension,16070809,30,32,"5,157","1,343",26.0,"13,646",2.6
2012–13,Major cities,Males,Chronic PPH,Hypertension,7958411,23,23,"1,840",492,26.7,"4,450",2.4
2012–13,Major cities,Females,Chronic PPH,Hypertension,8112398,35,41,"3,317",851,25.7,"9,196",2.8
2012–13,Major cities,Males,Chronic PPH,Iron deficiency anaemia,7958411,115,111,"8,863","6,388",72.1,"15,748",1.8
2012–13,Major cities,Persons,Chronic PPH,Iron deficiency anaemia,16070809,151,158,"25,360","18,992",74.9,"42,889",1.7
2012–13,Major cities,Females,Chronic PPH,Iron deficiency anaemia,8112398,188,203,"16,497","12,604",76.4,"27,140",1.6
2012–13,Major cities,Females,Chronic PPH,Nutritional deficiencies,8112398,2,2,154,n.p,n.p,n.p,n.p
2012–13,Major cities,Persons,Chronic PPH,Nutritional deficiencies,16070809,2,2,265,11,4.1,"3,390",12.8
2012–13,Major cities,Males,Chronic PPH,Nutritional deficiencies,7958411,1,1,112,n.p,n.p,n.p,n.p
2012–13,Major cities,Males,Chronic PPH,Rheumatic heart disease,7958411,9,9,697,181,25.9,"6,270",9.0
2012–13,Major cities,Persons,Chronic PPH,Rheumatic heart disease,16070809,10,10,"1,679",464,27.6,"14,323",8.5
2012–13,Major cities,Females,Chronic PPH,Rheumatic heart disease,8112398,11,12,982,283,28.8,"8,053",8.2
2012–13,Major cities,Persons,Chronic PPH,Total chronic,16070809,"1,044","1,104","177,353","47,093",26.6,"805,344",4.5
2012–13,Major cities,Males,Chronic PPH,Total chronic,7958411,"1,148","1,111","88,388","22,032",24.9,"405,619",4.6
2012–13,Major cities,Females,Chronic PPH,Total chronic,8112398,969,"1,097","88,965","25,060",28.2,"399,725",4.5
2012–13,Major cities,Males,Chronic PPH,Type 1 diabetes complications,7958411,56,55,"4,401","1,390",31.6,"14,681",3.3
2012–13,Major cities,Females,Chronic PPH,Type 1 diabetes complications,8112398,57,55,"4,482","1,344",30.0,"14,940",3.3
2012–13,Major cities,Persons,Chronic PPH,Type 1 diabetes complications,16070809,56,55,"8,883","2,734",30.8,"29,621",3.3
2012–13,Major cities,Persons,Chronic PPH,Type 2 diabetes complications,16070809,98,104,"16,702","4,616",27.6,"112,442",6.7
2012–13,Major cities,Females,Chronic PPH,Type 2 diabetes complications,8112398,66,76,"6,131","1,611",26.3,"39,202",6.4
2012–13,Major cities,Males,Chronic PPH,Type 2 diabetes complications,7958411,134,133,"10,570","3,005",28.4,"73,240",6.9
2012–13,Major cities,Females,Total PPH,Total potentially preventable,8112398,"2,172","2,363","191,680","63,753",33.3,"766,872",4.0
2012–13,Major cities,Persons,Total PPH,Total potentially preventable,16070809,"2,221","2,307","370,777","120,022",32.4,1508462,4.1
2012–13,Major cities,Males,Total PPH,Total potentially preventable,7958411,"2,301","2,250","179,095","56,269",31.4,"741,588",4.1
2012–13,Major cities,Persons,Vaccine preventable PPH,Other vaccine-preventable conditions,16070809,29,29,"4,671",976,20.9,"30,321",6.5
2012–13,Major cities,Males,Vaccine preventable PPH,Other vaccine-preventable conditions,7958411,35,35,"2,768",653,23.6,"17,423",6.3
2012–13,Major cities,Females,Vaccine preventable PPH,Other vaccine-preventable conditions,8112398,23,23,"1,903",324,17.0,"12,898",6.8
2012–13,Major cities,Persons,Vaccine preventable PPH,Other vaccine-preventable conditions (excluding Hepatitis B),16070809,13,13,"2,140",196,9.1,"14,930",7.0
2012–13,Major cities,Males,Vaccine preventable PPH,Other vaccine-preventable conditions (excluding Hepatitis B),7958411,13,13,"1,033",104,10.1,"6,911",6.7
2012–13,Major cities,Females,Vaccine preventable PPH,Other vaccine-preventable conditions (excluding Hepatitis B),8112398,14,14,"1,107",92,8.3,"8,019",7.2
2012–13,Major cities,Females,Vaccine preventable PPH,Pneumonia and influenza (vaccine-preventable),8112398,56,61,"4,941",338,6.8,"37,597",7.6
2012–13,Major cities,Males,Vaccine preventable PPH,Pneumonia and influenza (vaccine-preventable),7958411,64,62,"4,964",274,5.5,"41,176",8.3
2012–13,Major cities,Persons,Vaccine preventable PPH,Pneumonia and influenza (vaccine-preventable),16070809,59,62,"9,905",612,6.2,"78,773",8.0
2012–13,Major cities,Males,Vaccine preventable PPH,Total vaccine preventable,7958411,98,97,"7,705",926,12.0,"58,343",7.6
2012–13,Major cities,Persons,Vaccine preventable PPH,Total vaccine preventable,16070809,88,90,"14,526","1,588",10.9,"108,405",7.5
2012–13,Major cities,Females,Vaccine preventable PPH,Total vaccine preventable,8112398,78,84,"6,821",662,9.7,"50,062",7.3
2012–13,Outer Regional,Persons,Acute PPH,Cellulitis,2001138,309,325,"6,510",879,13.5,"26,564",4.1
2012–13,Outer Regional,Females,Acute PPH,Cellulitis,986328,252,274,"2,698",355,13.2,"11,545",4.3
2012–13,Outer Regional,Males,Acute PPH,Cellulitis,1014810,365,376,"3,812",524,13.7,"15,019",3.9
2012–13,Outer Regional,Females,Acute PPH,Convulsions,986328,85,85,842,230,27.3,"1,997",2.4
2012–13,Outer Regional,Persons,Acute PPH,Convulsions,2001138,97,97,"1,940",538,27.7,"5,109",2.6
2012–13,Outer Regional,Males,Acute PPH,Convulsions,1014810,108,108,"1,098",308,28.1,"3,112",2.8
2012–13,Outer Regional,Males,Acute PPH,Convulsions and epilepsy,1014810,226,226,"2,295",627,27.3,"6,204",2.7
2012–13,Outer Regional,Persons,Acute PPH,Convulsions and epilepsy,2001138,199,198,"3,956","1,055",26.7,"10,782",2.7
2012–13,Outer Regional,Females,Acute PPH,Convulsions and epilepsy,986328,171,168,"1,661",428,25.8,"4,577",2.8
2012–13,Outer Regional,Males,Acute PPH,Dental conditions,1014810,300,298,"3,025","2,529",83.6,"3,718",1.2
2012–13,Outer Regional,Females,Acute PPH,Dental conditions,986328,323,317,"3,126","2,732",87.4,"3,706",1.2
2012–13,Outer Regional,Persons,Acute PPH,Dental conditions,2001138,311,307,"6,151","5,262",85.5,"7,424",1.2
2012–13,Outer Regional,Persons,Acute PPH,"Ear, nose and throat infections",2001138,209,204,"4,086","1,344",32.9,"7,027",1.7
2012–13,Outer Regional,Females,Acute PPH,"Ear, nose and throat infections",986328,213,205,"2,018",607,30.1,"3,701",1.8
2012–13,Outer Regional,Males,Acute PPH,"Ear, nose and throat infections",1014810,206,204,"2,067",737,35.7,"3,327",1.6
2012–13,Outer Regional,Males,Acute PPH,Eclampsia,1014810,n.p,n.p,n.p,n.p,n.p,n.p,n.p
2012–13,Outer Regional,Persons,Acute PPH,Eclampsia,2001138,n.p,n.p,14,n.p,n.p,n.p,n.p
2012–13,Outer Regional,Females,Acute PPH,Eclampsia,986328,n.p,n.p,n.p,n.p,n.p,n.p,n.p
2012–13,Outer Regional,Males,Acute PPH,Epilepsy,1014810,119,118,"1,197",319,26.6,"3,092",2.6
2012–13,Outer Regional,Persons,Acute PPH,Epilepsy,2001138,102,101,"2,016",517,25.6,"5,672",2.8
2012–13,Outer Regional,Females,Acute PPH,Epilepsy,986328,86,83,819,198,24.2,"2,580",3.2
2012–13,Outer Regional,Persons,Acute PPH,Gangrene,2001138,43,48,955,75,7.8,"12,468",13.1
2012–13,Outer Regional,Females,Acute PPH,Gangrene,986328,34,39,383,25,6.5,"5,419",14.1
2012–13,Outer Regional,Males,Acute PPH,Gangrene,1014810,51,56,571,50,8.7,"7,049",12.3
2012–13,Outer Regional,Males,Acute PPH,Pelvic inflammatory disease,1014810,n.p,n.p,n.p,n.p,n.p,n.p,n.p
2012–13,Outer Regional,Persons,Acute PPH,Pelvic inflammatory disease,2001138,26,23,463,140,30.3,"1,042",2.2
2012–13,Outer Regional,Females,Acute PPH,Pelvic inflammatory disease,986328,n.p,n.p,n.p,n.p,n.p,n.p,n.p
2012–13,Outer Regional,Males,Acute PPH,Perforated/bleeding ulcer,1014810,29,32,322,41,12.7,"1,938",6.0
2012–13,Outer Regional,Persons,Acute PPH,Perforated/bleeding ulcer,2001138,23,26,522,67,12.9,"3,775",7.2
2012–13,Outer Regional,Females,Acute PPH,Perforated/bleeding ulcer,986328,17,20,200,27,13.3,"1,837",9.2
2012–13,Outer Regional,Males,Acute PPH,Pneumonia (not vaccine-preventable),1014810,8,8,83,n.p,n.p,n.p,n.p
